Slice,PSNR,SSIM,MSE
Cirrus_TEST008_114.tiff,20.934,0.209,0.008065182715654373
Cirrus_TEST008_115.tiff,20.668,0.202,0.008574960753321648
Cirrus_TEST008_116.tiff,20.881,0.208,0.00816335342824459
Cirrus_TEST008_117.tiff,20.956,0.209,0.008024448528885841
Cirrus_TEST008_118.tiff,20.925,0.209,0.008082537911832333
Cirrus_TEST008_119.tiff,20.389,0.185,0.009142379276454449
Cirrus_TEST008_120.tiff,20.393,0.198,0.009135615080595016
Cirrus_TEST008_121.tiff,20.585,0.2,0.00873879436403513
Cirrus_TEST008_122.tiff,20.604,0.205,0.008700636215507984
Cirrus_TEST008_123.tiff,20.901,0.214,0.00812619924545288
Cirrus_TEST008_124.tiff,21.099,0.222,0.0077642835676670074
Cirrus_TEST008_125.tiff,20.952,0.202,0.008032280020415783
Cirrus_TEST008_126.tiff,20.92,0.202,0.008090433664619923
Cirrus_TEST009_001.tiff,20.667,0.185,0.008576005697250366
Cirrus_TEST009_002.tiff,20.978,0.177,0.00798323005437851
Cirrus_TEST009_003.tiff,20.309,0.164,0.009313146583735943
Cirrus_TEST009_004.tiff,20.675,0.173,0.008560477755963802
Cirrus_TEST009_005.tiff,20.509,0.184,0.008893799968063831
Cirrus_TEST009_006.tiff,20.539,0.169,0.008832497522234917
Cirrus_TEST009_007.tiff,20.121,0.15,0.0097252381965518
Cirrus_TEST009_008.tiff,19.974,0.147,0.010059695690870285
Cirrus_TEST009_009.tiff,19.97,0.146,0.010069070383906364
Cirrus_TEST009_010.tiff,19.933,0.147,0.010154811665415764
Cirrus_TEST009_011.tiff,20.08,0.148,0.009817522950470448
Cirrus_TEST009_012.tiff,20.095,0.149,0.009783036075532436
Cirrus_TEST009_013.tiff,20.08,0.142,0.009818222373723984
Cirrus_TEST009_014.tiff,19.975,0.143,0.010058162733912468
Cirrus_TEST009_015.tiff,19.949,0.141,0.010117958299815655
Cirrus_TEST009_016.tiff,20.002,0.146,0.009996134787797928
Cirrus_TEST009_017.tiff,19.862,0.142,0.010323996655642986
Cirrus_TEST009_018.tiff,19.989,0.15,0.010025433264672756
Cirrus_TEST009_019.tiff,20.062,0.147,0.009858319535851479
Cirrus_TEST009_020.tiff,19.994,0.147,0.010014481842517853
Cirrus_TEST009_021.tiff,19.95,0.148,0.01011667214334011
Cirrus_TEST009_022.tiff,20.284,0.159,0.009367565624415874
Cirrus_TEST009_023.tiff,20.318,0.157,0.009292978793382645
Cirrus_TEST009_024.tiff,20.109,0.159,0.009751957841217518
Cirrus_TEST009_025.tiff,20.466,0.163,0.008983478881418705
Cirrus_TEST009_026.tiff,20.959,0.176,0.008017739281058311
Cirrus_TEST009_027.tiff,20.835,0.168,0.008250215090811253
Cirrus_TEST009_028.tiff,20.53,0.159,0.0088520348072052
Cirrus_TEST009_029.tiff,20.596,0.165,0.008718627505004406
Cirrus_TEST009_030.tiff,20.614,0.168,0.008680976927280426
Cirrus_TEST009_031.tiff,20.201,0.161,0.009548516012728214
Cirrus_TEST009_032.tiff,20.838,0.173,0.00824529118835926
Cirrus_TEST009_033.tiff,21.594,0.198,0.006928261835128069
Cirrus_TEST009_034.tiff,21.268,0.183,0.007468157913535833
Cirrus_TEST009_035.tiff,20.683,0.176,0.008544540032744408
Cirrus_TEST009_036.tiff,21.433,0.19,0.007189213763922453
Cirrus_TEST009_037.tiff,21.6,0.189,0.00691768666729331
Cirrus_TEST009_038.tiff,21.238,0.187,0.007520083803683519
Cirrus_TEST009_039.tiff,21.637,0.193,0.006859965622425079
Cirrus_TEST009_040.tiff,21.737,0.197,0.006703769788146019
Cirrus_TEST009_041.tiff,21.975,0.203,0.0063467170111835
Cirrus_TEST009_042.tiff,21.742,0.201,0.006696412339806557
Cirrus_TEST009_043.tiff,21.093,0.181,0.007774805650115013
Cirrus_TEST009_044.tiff,20.666,0.168,0.008578967303037643
Cirrus_TEST009_045.tiff,20.387,0.161,0.009148014709353447
Cirrus_TEST009_046.tiff,20.381,0.155,0.009159366600215435
Cirrus_TEST009_047.tiff,20.197,0.152,0.009556564502418041
Cirrus_TEST009_048.tiff,19.977,0.15,0.010052751749753952
Cirrus_TEST009_049.tiff,19.871,0.148,0.010300824418663979
Cirrus_TEST009_050.tiff,19.916,0.149,0.010194170288741589
Cirrus_TEST009_051.tiff,19.927,0.146,0.01017017476260662
Cirrus_TEST009_052.tiff,19.954,0.146,0.010105936788022518
Cirrus_TEST009_053.tiff,19.767,0.139,0.010551290586590767
Cirrus_TEST009_054.tiff,19.76,0.14,0.010567163117229939
Cirrus_TEST009_055.tiff,20.054,0.15,0.009875364601612091
Cirrus_TEST009_056.tiff,20.312,0.163,0.00930716097354889
Cirrus_TEST009_057.tiff,20.399,0.17,0.009121405892074108
Cirrus_TEST009_058.tiff,20.255,0.173,0.009429502300918102
Cirrus_TEST009_059.tiff,20.117,0.165,0.009735029190778732
Cirrus_TEST009_060.tiff,20.013,0.162,0.009970078244805336
Cirrus_TEST009_061.tiff,19.912,0.166,0.010203910060226917
Cirrus_TEST009_062.tiff,20.243,0.168,0.009455204010009766
Cirrus_TEST009_063.tiff,20.305,0.163,0.009321059100329876
Cirrus_TEST009_064.tiff,20.266,0.162,0.00940532237291336
Cirrus_TEST009_065.tiff,20.1,0.157,0.009771285578608513
Cirrus_TEST009_066.tiff,19.99,0.153,0.010023275390267372
Cirrus_TEST009_067.tiff,19.913,0.146,0.010202543810009956
Cirrus_TEST009_068.tiff,19.916,0.149,0.010194219648838043
Cirrus_TEST009_069.tiff,19.994,0.15,0.010013270191848278
Cirrus_TEST009_070.tiff,19.955,0.145,0.01010365504771471
Cirrus_TEST009_071.tiff,20.185,0.156,0.00958324410021305
Cirrus_TEST009_072.tiff,20.019,0.154,0.00995621643960476
Cirrus_TEST009_073.tiff,20.038,0.149,0.00991193950176239
Cirrus_TEST009_074.tiff,19.736,0.139,0.010627269744873047
Cirrus_TEST009_075.tiff,19.959,0.149,0.010094976052641869
