slice,dice_Background,dice_SRF,voxels_Background,voxels_SRF,union_Background,union_SRF,intersection_Background,intersection_SRF,binary_dice
Cirrus_TRAIN004_035.tiff,0.9977885484695435,0.6993798613548279,252247,1705,504195,3709,251540,1297,0.6993798613548279
Cirrus_TRAIN004_036.tiff,0.9987351894378662,0.7621883153915405,252872,1080,505217,2687,252289,1024,0.7621883153915405
Cirrus_TRAIN004_037.tiff,0.9983821511268616,0.7197255492210388,252662,1290,504989,2915,252086,1049,0.7197255492210388
Cirrus_TRAIN004_038.tiff,0.9983813762664795,0.7833244800567627,252177,1775,504138,3766,251661,1475,0.7833244800567627
Cirrus_TRAIN004_039.tiff,0.9989239573478699,0.8336906433105469,252458,1494,504639,3265,252048,1361,0.8336906433105469
Cirrus_TRAIN004_040.tiff,0.9984657764434814,0.7728873491287231,252524,1428,504496,3408,251861,1317,0.7728873491287231
Cirrus_TRAIN004_041.tiff,0.9986060857772827,0.8032465577125549,252343,1609,504331,3573,251814,1435,0.8032465577125549
Cirrus_TRAIN004_042.tiff,0.9987334609031677,0.8113374710083008,252419,1533,504517,3387,251939,1374,0.8113374710083008
Cirrus_TRAIN004_043.tiff,0.9989617466926575,0.8363522887229919,252394,1558,504702,3202,252089,1339,0.8363522887229919
Cirrus_TRAIN004_044.tiff,0.9969919323921204,0.613462507724762,252553,1399,503982,3922,251233,1203,0.613462507724762
Cirrus_TRAIN004_045.tiff,0.9984262585639954,0.7646710276603699,252505,1447,504530,3374,251868,1290,0.7646710276603699
Cirrus_TRAIN004_046.tiff,0.9989910125732422,0.7911548018455505,252850,1102,505462,2442,252476,966,0.7911548018455505
Cirrus_TRAIN004_047.tiff,0.9981274604797363,0.7078825235366821,252400,1552,504669,3235,251862,1145,0.7078825235366821
Cirrus_TRAIN004_048.tiff,0.9979360699653625,0.705182671546936,252286,1666,504373,3531,251666,1245,0.705182671546936
Cirrus_TRAIN004_049.tiff,0.9984965920448303,0.7961269617080688,252002,1950,504186,3718,251714,1480,0.7961269617080688
Cirrus_TRAIN004_050.tiff,0.9983422160148621,0.8023668527603149,252094,1858,503679,4225,251422,1695,0.8023668527603149
